Action,Description,Filter,Message,Name,RegEx,Sev,ThresholdPerDay,ThresholdPerMin
"Please contact the Cisco reseller through which you procured the product for
support. If you have purchased a Cisco support contract please call Cisco TAC for support. 
",AAA request rejected as the limit for maximum concurrent aaa sessions is reached.,N,AAA-1-AAA_SESSION_LIMIT_REJECT,AAA-1-AAA_SESSION_LIMIT_REJECT,*AAA-1-AAA_SESSION_LIMIT_REJECT*,1,0,0
No message is required,This is due internal aaa statistic for multilink member links. Message appered only when multilink members went down due some other problem on the network. Message is not an error as aaa is reporting that it doesn t have entry for multilink which is expected as we have flap on serial link which takes about 4 seconds.,Y,AAA-2-AAAMULTILINKERROR,AAA-2-AAAMULTILINKERROR,*AAA-2-AAAMULTILINKERROR*,2,0,0
"Retry configuration after few seconds if it still does not work contact TAC for more information.
","Configurations is blocked when save config is in progress. This message indicates a configuration access violation. The cause of this issue maybe an snmp process accessed to the configuration file when the backup configuration file was generating by other process.

",N,AAA-3-AAA_CONFIG_NOT_ALLOWED,AAA-3-AAA_CONFIG_NOT_ALLOWED,*AAA-3-AAA_CONFIG_NOT_ALLOWED*,3,0,0
"No action is required.

Ref : https: www.cisco.com c en us td docs switches datacenter sw system_messages reference sys_Book sl_7K_MDS_a_to_e.htm","AAA Message

",Y,AAA-3-AAA_ERR_MSG,AAA-3-AAA_ERR_MSG,*AAA-3-AAA_ERR_MSG*,3,0,0
"Reload the system for recovery. Contact TAC for further assistance.

","AAA unable to handle accounting requests due to insufficient I O memory and could be trashing the queued accounting records. Dropping the accounting request as there is no enough I O memory. Hence all queued accounting requests shall be trashed

",N,AAA-3-ACCT_LOW_IO_MEM_TRASH,AAA-3-ACCT_LOW_IO_MEM_TRASH,*AAA-3-ACCT_LOW_IO_MEM_TRASH*,3,0,0
"Copy the error message exactly as it appears on the console or in the system log, call your Cisco technical support representative and provide the representative with the gathered information.",An accounting request was dropped because there is not enough processor memory. All queued accounting requests will be discarded.,N,AAA-3-ACCT_LOW_MEM_TRASH,AAA-3-ACCT_LOW_MEM_TRASH,*AAA-3-ACCT_LOW_MEM_TRASH*,3,0,0
"
Failover to reset memory to default settings, if in redundant setup. Reload to reset memory to default settings in single sup setup",AAA unable to create UID for incoming calls due to insufficient processor memoryThe AAA accounting process is unable to create a user ID (UID) due to insufficient memory.,N,AAA-3-ACCT_LOW_MEM_UID_FAIL,AAA-3-ACCT_LOW_MEM_UID_FAIL,*AAA-3-ACCT_LOW_MEM_UID_FAIL*,3,0,0
"Check the server , whether they are operational or not. Next check whether the device is configured properly. Refer tothe server configuration section of the cisco IOS documentation. Finally, check that the NAS can communicate with the server. If the problem persist, Enter show running-config command, contact your cisco technical support representative and provide all the information gathered to the representative.","Accounting record dropped, send to server failed: %sAn attempt to send an accounting record to a server failed. This happens when device exhaust all its retries and retransmission. The cause for this be the servers may not be operational or the NAS is not configured properly.",N,AAA-3-DROPACCTFAIL,AAA-3-DROPACCTFAIL,*AAA-3-DROPACCTFAIL*,3,0,0
"This would generally mean there are leaks in the system, which are not allowing the further processing of the authentication accounting requests. Please check for the memory availability of the memory in the system. Please check the processor memory or IO memory. Most likely one is them has less available memory or worst case, both may have insufficient memory",The message is an informational message which means that system hit a low Memory watermark.,N,AAA-3-LOW_MEM,AAA-3-LOW_MEM,*AAA-3-LOW_MEM*,3,0,0
Ensure that the TACACS server is available.,"TACACS server was not available for authentication, accounting, and authorization.",N,AAA-3-SELECT_CALL_FAILURE,AAA-3-SELECT_CALL_FAILURE,*AAA-3-SELECT_CALL_FAILURE*,3,0,0
"This is an informational message no, no action required. If the message is reaccuring reach out to Cisco TAC.",Transmission queue full. Dropping session packets.,N,AAA-3-TXQUEUE_ADD_FAILED,AAA-3-TXQUEUE_ADD_FAILED,*AAA-3-TXQUEUE_ADD_FAILED*,3,0,0
Copy the message and contact CISCO TAC,Could not check password for user,Y,AAA-3-USER_PASS_CHECK_FAILED,AAA-3-USER_PASS_CHECK_FAILED,*AAA-3-USER_PASS_CHECK_FAILED*,3,0,0
"
Verify the configuration for user user account and check against number of retries executed. Contact Cisco TAC for further assistance","Guest user session validation failed. This error message is logged in the message log file. The reason for this error message could be any of the following:
– User account entry not present.
– User account not configured as a guest.
– User information not found.
– Maximum guest user retries are exceeded.",N,AAA-3-VALIDATE_GUEST_SESSION_FAILED,AAA-3-VALIDATE_GUEST_SESSION_FAILED,*AAA-3-VALIDATE_GUEST_SESSION_FAILED*,3,0,0
Check the availability and reachability of the accounting server.,"The accounting method failed to provide an answer and is considered unavailable. If the method list for this service contains a fall back method, this request will be retried via that method.",N,AAA-4-ACCT_FALLBACK,AAA-4-ACCT_FALLBACK,*AAA-4-ACCT_FALLBACK*,4,0,0
Verify configuration and reach ability of accounting server. Contact Cisco TAC for further assistance.,"None of the accounting servers are responsive, and the switch will drop messages until the error is rectified.",N,AAA-4-ACCT_MSG_DROP,AAA-4-ACCT_MSG_DROP,*AAA-4-ACCT_MSG_DROP*,3,0,0
"No action is required, this message is for information only.",Message indicates AAA resumed successful sending of accounting messages.,N,AAA-4-ACCT_MSG_RESUME,AAA-4-ACCT_MSG_RESUME,*AAA-4-ACCT_MSG_RESUME*,4,0,0
Check to see if the accounting method has been configured.,This message is seen when accounting method failed because the method is not ready. This can occur if the method has not been fully configured.,N,AAA-4-ACCT_PLUGIN_NOT_READY,AAA-4-ACCT_PLUGIN_NOT_READY,*AAA-4-ACCT_PLUGIN_NOT_READY*,4,0,0
Check the availability and reachability of the accounting server(s),"There were too many messages in the accounting queue, and the switch discarded some pending messages to avoid consuming too many resources. It normally means that the server was slow at taking the accounting messages. Accounting queue is full; the oldest %d messages will be dropped",N,AAA-4-ACCT_QUEUE_FULL,AAA-4-ACCT_QUEUE_FULL,*AAA-4-ACCT_QUEUE_FULL*,4,0,0
Check to see if the authentication method has been configured.,Authenticating a user with this authentication method failed because the method is not ready. This can occur if the method has not been fully configured.,N,AAA-4-AUTHN_PLUGIN_NOT_READY,AAA-4-AUTHN_PLUGIN_NOT_READY,*AAA-4-AUTHN_PLUGIN_NOT_READY*,4,0,0
"Check the availability and reach ability of the authorization server(s). For further assistance Copy the error message and gather the required information, reach out to Cisco TAC","This is an issue specific to non-Cisco Arista devices and increasing the TACACS server timeout.Authorization method ’%s’ is currently unavailable; falling back to next method for action’%s’. The authorization method failed to provide an answer and is considered unavailable. If the method list for this service contains a fallback method, this request will be retried via that method.",N,AAA-4-AUTHZ_FALLBACK,AAA-4-AUTHZ_FALLBACK,*AAA-4-AUTHZ_FALLBACK*,4,0,0
Check if the authorization method has been configured.,This message indicates that authorizing an action using this authentication method failed because the method is not ready.,N,AAA-4-AUTHZ_PLUGIN_NOT_READY,AAA-4-AUTHZ_PLUGIN_NOT_READY,*AAA-4-AUTHZ_PLUGIN_NOT_READY*,4,0,0
Confirm that the user settings on authorization server(s) are correct.,AAA denied authorization for the specified command.,N,AAA-4-CMD_AUTHZ_FAILED,AAA-4-CMD_AUTHZ_FAILED,*AAA-4-CMD_AUTHZ_FAILED*,3,0,0
"Confirm that the user settings on authorization server(s) are correct. Contact TAC for further investigation.
","User %s failed authorization to start a shell. AAA server denied authorization to start a shell.

",N,AAA-4-EXEC_AUTHZ_FAILED,AAA-4-EXEC_AUTHZ_FAILED,*AAA-4-EXEC_AUTHZ_FAILED*,4,0,0
"Collect the logs to find the reason for invalid radius authenticator. Few of the factors could be radius compatibility or discrepancies in shared secret keys etc. Reach out to TAC for further assistance. 

",The system has detected an invalid RADIUS message authenticator for the mobile device.,N,AAA-4-INVALID_AUTHENTICATOR,AAA-4-INVALID_AUTHENTICATOR,*AAA-4-INVALID_AUTHENTICATOR*,4,0,0
No action is required.,A RADIUS packet is less than its minimum size.,Y,AAA-4-INVALID_RADIUS_PKT_SIZE,AAA-4-INVALID_RADIUS_PKT_SIZE,*AAA-4-INVALID_RADIUS_PKT_SIZE*,4,0,0
No action required.,This message indicates Local Auth EAP session aborted.,N,AAA-4-LOCALAUTH_EAP_ABORT,AAA-4-LOCALAUTH_EAP_ABORT,*AAA-4-LOCALAUTH_EAP_ABORT*,4,0,0
